SaleID,CustomerID,CarModel,DealerID,Price,Date,FuelType,Region
1,4174,Ertiga,27,2508932,2022-08-21,Petrol,South
2,4507,Baleno,176,1262662,2022-08-16,Hybrid,West
3,1860,XUV700,147,1036984,2024-10-03,CNG,West
4,2294,Ertiga,179,1939769,2023-06-06,CNG,West
5,2130,City,7,1030363,2022-01-13,Petrol,Central
6,2095,Ertiga,157,533001,2023-03-21,CNG,South
7,4772,City,171,1305954,2022-12-06,Diesel,South
8,4092,Ertiga,69,1856036,2023-08-21,Petrol,West
9,2638,Baleno,94,2619788,2022-06-06,Diesel,North
10,3169,Seltos,113,1826122,2023-10-18,Petrol,East
11,1466,Harrier,107,1459692,2024-09-29,Petrol,North
12,2238,Baleno,120,1794021,2024-03-08,Petrol,Central
13,1330,Swift,186,829111,2023-05-06,Hybrid,East
14,2482,Creta,136,2148021,2024-04-14,Hybrid,North
15,3135,Seltos,170,727716,2024-08-09,Petrol,South
16,4444,XUV700,42,2955602,2022-12-23,Petrol,North
17,4171,i20,13,1532324,2023-12-18,Petrol,West
18,3919,Baleno,154,542324,2022-12-28,Petrol,Central
19,4735,Ertiga,18,485261,2022-01-08,CNG,North
20,1130,Baleno,42,2717819,2023-04-17,CNG,North
21,2685,Alto,51,2001381,2022-06-21,CNG,East
22,4380,Seltos,113,2652498,2022-04-06,Hybrid,West
23,1769,Harrier,144,2399657,2023-11-05,Diesel,East
24,3391,XUV700,101,2828950,2023-08-31,Petrol,Central
25,2515,Alto,3,2754623,2023-04-19,CNG,Central
26,4485,City,79,609691,2023-09-06,CNG,West
27,3853,Alto,98,2546799,2023-11-20,CNG,East
28,3433,Baleno,173,871939,2024-06-16,Petrol,West
29,2215,XUV700,150,2155835,2022-04-20,Petrol,East
30,1955,Baleno,23,1999505,2023-12-11,Diesel,South
31,3324,City,59,2881712,2024-08-22,Hybrid,West
32,2184,i20,190,1078514,2024-05-20,Diesel,Central
33,1459,XUV700,113,1744721,2023-10-11,Petrol,East
34,4385,i20,68,2474373,2022-12-15,Diesel,South
35,1021,Seltos,54,1621172,2023-04-08,CNG,Central
36,3300,Seltos,57,401304,2024-06-03,Diesel,East
37,1747,i20,151,1298880,2022-09-03,CNG,South
38,3904,Seltos,111,1268800,2024-03-08,Diesel,Central
39,4632,XUV700,60,1196454,2024-05-19,CNG,Central
40,1474,Ertiga,73,477354,2024-03-26,Diesel,South
41,2082,Swift,55,2923985,2023-05-30,Hybrid,Central
42,3558,Seltos,117,1568621,2022-08-14,Diesel,East
43,4753,Seltos,63,589896,2023-08-01,Petrol,East
44,3047,Baleno,184,2744811,2023-05-21,Petrol,Central
45,4547,i20,55,1910272,2022-06-04,CNG,North
46,3747,Creta,25,2092509,2022-04-21,Petrol,South
47,1975,Harrier,26,2388407,2023-04-28,CNG,North
48,2806,Alto,177,1713964,2024-03-18,Hybrid,East
49,1189,Seltos,63,1473666,2022-10-01,Petrol,Central
50,4005,Alto,173,2823573,2022-06-04,Petrol,West
51,3734,XUV700,73,2597047,2022-12-11,CNG,West
52,4005,Creta,79,841752,2024-01-05,Hybrid,North
53,1562,Harrier,167,2767151,2023-07-23,Hybrid,North
54,2899,i20,65,2750707,2022-10-21,Diesel,North
55,4638,Swift,69,1309395,2023-10-07,CNG,East
56,2267,Harrier,184,2222366,2022-12-04,CNG,East
57,3879,Harrier,9,1707421,2023-03-28,Hybrid,Central
58,2528,Swift,198,1349456,2022-12-10,CNG,East
59,4202,Ertiga,156,1761094,2023-12-18,Petrol,Central
60,4556,i20,173,936809,2023-09-23,Petrol,Central
61,4890,Baleno,26,1024434,2024-02-04,Petrol,North
62,1646,Alto,28,1655667,2022-03-26,CNG,West
63,3068,Seltos,40,2374138,2024-01-07,Diesel,North
64,3888,Harrier,143,2641928,2023-10-22,Diesel,East
65,3214,XUV700,134,2556085,2022-08-15,Hybrid,South
66,2297,Swift,27,2043965,2022-04-19,CNG,East
67,3435,Alto,38,443856,2022-05-15,Hybrid,West
68,1600,Creta,196,2231524,2024-07-26,CNG,East
69,3363,Swift,85,2920983,2022-10-18,Diesel,West
70,3061,Creta,64,2618790,2024-04-01,Petrol,South
71,1241,i20,30,2211146,2023-01-29,CNG,South
72,3041,Harrier,99,2236935,2022-01-27,Diesel,Central
73,3824,XUV700,131,1194733,2022-01-13,Diesel,East
74,4417,Seltos,190,1129353,2023-07-08,Diesel,Central
75,3612,Creta,12,1912820,2024-07-21,Petrol,North
76,3945,Alto,91,2303767,2023-03-21,Diesel,North
77,2363,Ertiga,30,749135,2022-08-12,Hybrid,North
78,3139,i20,38,2989626,2022-01-21,Diesel,North
79,2390,Ertiga,85,1865226,2023-04-12,Diesel,North
80,4003,i20,60,2342853,2023-10-15,CNG,East
81,2478,Baleno,38,1810598,2023-09-10,CNG,Central
82,4499,Alto,104,1857466,2024-02-19,CNG,Central
83,3556,Ertiga,143,1332930,2023-04-03,Diesel,West
84,1775,XUV700,146,1755511,2023-10-02,Diesel,North
85,1034,Harrier,180,2717864,2023-10-25,Hybrid,South
86,3253,Swift,29,1976119,2024-08-18,Petrol,West
87,4152,Seltos,112,2137762,2022-06-29,Diesel,West
88,2955,Harrier,188,2454648,2023-06-22,Petrol,East
89,2585,Harrier,21,1191376,2023-06-11,Diesel,West
90,4943,i20,145,2928194,2022-01-22,Petrol,South
91,4459,XUV700,146,1214155,2023-07-31,CNG,Central
92,4073,i20,185,1352791,2024-02-02,Diesel,West
93,2021,City,119,1198277,2024-07-10,Hybrid,East
94,4461,Creta,165,861322,2024-01-15,Petrol,North
95,3613,Seltos,60,2714031,2023-11-03,CNG,South
96,2129,Creta,166,2578586,2023-09-29,Hybrid,North
97,4843,Swift,140,1342967,2024-10-20,CNG,West
98,4893,City,113,1405844,2022-06-01,Diesel,Central
99,2500,Alto,129,1500658,2022-01-13,Hybrid,East
100,1702,Swift,58,847905,2023-12-16,Petrol,South
101,3449,Swift,3,2835703,2024-06-24,Petrol,Central
102,3777,Baleno,191,1406137,2022-09-06,Hybrid,South
103,2579,Seltos,149,1251198,2023-01-22,Petrol,East
