ServiceID,CustomerID,CarModel,ServiceRating,ServiceCost,ComplaintType,ServiceDate
1,4754,Creta,2,9064,High Service Cost,2023-12-17
2,1274,XUV700,3,14941,Scratches,2023-11-14
3,4878,i20,2,11638,Engine Noise,2024-02-19
4,2899,Baleno,5,4699,Late Delivery,2023-12-09
5,4743,Baleno,2,2339,Scratches,2022-09-07
6,1751,Swift,3,4421,AC Problem,2023-12-08
7,4648,Harrier,2,6980,Scratches,2022-01-04
8,3264,i20,1,8400,AC Problem,2023-03-25
9,2582,i20,5,14138,No Issue,2024-06-05
10,4468,Alto,1,4563,Late Delivery,2023-05-26
11,4145,Creta,1,5339,High Service Cost,2024-06-16
12,3001,XUV700,5,5999,Late Delivery,2022-02-15
13,1675,Creta,5,11572,Late Delivery,2022-11-27
14,1709,Alto,4,6942,High Service Cost,2022-05-06
15,1922,XUV700,3,4355,Late Delivery,2023-08-08
16,4399,Creta,1,14130,No Issue,2022-12-16
17,1407,Alto,1,10793,AC Problem,2022-10-05
18,1147,i20,5,11863,Engine Noise,2022-11-26
19,2109,Swift,5,4779,Late Delivery,2023-04-23
20,4592,Baleno,2,7917,Engine Noise,2023-05-25
21,1502,Harrier,1,13957,No Issue,2024-01-27
22,2788,Ertiga,1,4538,No Issue,2024-07-11
23,3279,City,5,10830,Late Delivery,2022-01-31
24,4959,Seltos,1,4685,Scratches,2023-07-05
25,3545,Alto,3,6075,Late Delivery,2023-11-07
26,3470,Seltos,4,6802,Engine Noise,2022-12-22
27,2490,Creta,5,3374,No Issue,2024-08-18
28,3294,City,5,9175,Engine Noise,2022-09-24
29,2393,Baleno,1,7350,Engine Noise,2022-10-17
30,4584,Creta,4,3726,High Service Cost,2022-03-04
31,4850,Baleno,4,10848,No Issue,2022-06-19
32,1104,XUV700,5,9792,No Issue,2022-01-13
33,3281,Swift,5,9980,Engine Noise,2023-10-11
34,2481,Alto,5,7315,AC Problem,2023-01-24
35,2280,Swift,3,9049,No Issue,2024-01-06
36,3522,Alto,1,8607,AC Problem,2022-12-23
37,2616,Creta,3,4962,AC Problem,2023-09-25
38,4706,Ertiga,5,10102,Late Delivery,2022-07-17
39,4051,Swift,4,6913,High Service Cost,2022-06-06
40,2195,City,1,4875,Late Delivery,2022-09-27
41,4890,Swift,1,2579,Scratches,2022-03-03
42,2296,XUV700,5,10351,Scratches,2023-05-13
43,4942,Creta,5,5572,AC Problem,2024-01-08
44,1758,Harrier,5,11681,Engine Noise,2022-04-27
45,1874,City,5,4895,AC Problem,2024-07-03
46,4959,Alto,5,14120,Scratches,2024-09-08
47,4265,Baleno,5,12737,Late Delivery,2023-12-19
48,1111,Harrier,1,2463,Scratches,2024-05-17
49,3070,Harrier,3,12581,Engine Noise,2022-10-28
50,3984,Creta,4,10699,No Issue,2022-11-23
51,4965,i20,5,7783,High Service Cost,2024-08-07
52,3362,Alto,4,11499,Engine Noise,2024-01-03
53,1201,Swift,1,8294,Engine Noise,2023-06-06
54,4572,Swift,4,3021,Engine Noise,2024-10-24
55,1617,Baleno,1,12814,Late Delivery,2022-06-30
56,3653,Harrier,2,4933,No Issue,2023-05-01
57,1994,Creta,3,4942,Engine Noise,2023-06-16
58,1024,Ertiga,2,14983,No Issue,2023-12-12
59,1656,Creta,1,8356,AC Problem,2022-04-06
60,2531,City,2,8728,Engine Noise,2024-02-29
61,2389,Seltos,1,5393,Late Delivery,2022-03-30
62,1530,XUV700,2,13035,Engine Noise,2024-08-04
63,4793,Seltos,1,2665,AC Problem,2024-07-11
64,2617,Harrier,3,8331,Scratches,2023-06-08
65,1045,Alto,3,5643,Late Delivery,2022-01-28
66,2058,i20,3,2767,Engine Noise,2022-10-02
67,3249,XUV700,1,12422,Engine Noise,2023-07-09
68,2558,Seltos,4,10575,Engine Noise,2023-04-10
69,1364,i20,2,14312,Scratches,2022-04-09
70,3517,City,2,3337,Scratches,2023-10-17
71,4371,Baleno,2,12277,Engine Noise,2023-03-29
72,3824,Ertiga,2,6397,Scratches,2022-10-19
73,3463,Ertiga,3,14234,Engine Noise,2024-10-14
74,2369,City,4,6059,Scratches,2022-10-28
75,2372,City,2,11584,No Issue,2022-06-23
76,3746,i20,4,4147,AC Problem,2022-01-30
77,3857,i20,1,3411,Engine Noise,2022-09-08
78,3237,City,1,12898,AC Problem,2023-09-13
79,4474,Harrier,2,8589,Engine Noise,2022-12-10
80,4823,Seltos,5,12007,High Service Cost,2024-09-29
81,1348,Harrier,3,6150,High Service Cost,2022-12-12
82,1372,City,2,9663,Late Delivery,2023-06-20
83,2662,Swift,3,12823,No Issue,2022-12-10
84,4576,Harrier,2,8898,No Issue,2024-05-16
85,4362,Swift,3,4174,Late Delivery,2022-03-27
86,4975,XUV700,5,6051,High Service Cost,2022-09-01
87,1984,City,5,5392,Late Delivery,2024-02-19
88,1986,i20,1,5467,High Service Cost,2022-01-06
89,3158,Swift,2,14440,Engine Noise,2024-08-20
90,2578,Swift,5,11364,AC Problem,2023-01-16
91,2526,Seltos,5,9570,Late Delivery,2024-02-18
92,4372,Harrier,2,10417,Scratches,2022-05-04
93,3693,Alto,2,12931,AC Problem,2023-05-16
94,2036,Alto,1,3333,High Service Cost,2022-01-10
95,1522,XUV700,5,2418,Engine Noise,2024-08-28
96,4173,Baleno,3,14802,Scratches,2023-08-19
97,2989,Seltos,2,6384,Scratches,2023-04-02
98,3244,Seltos,2,12440,No Issue,2023-09-04
99,2414,XUV700,2,7638,High Service Cost,2023-12-28
100,3102,i20,2,6968,Engine Noise,2023-08-20
101,3230,City,5,12906,High Service Cost,2024-10-25
102,2042,Ertiga,3,4816,Engine Noise,2022-10-14
103,1362,City,1,2167,AC Problem,2022-07-26
104,4845,Ertiga,4,7009,High Service Cost,2023-07-04
105,3520,Seltos,5,11890,AC Problem,2023-11-23
106,1008,City,5,11510,Scratches,2024-06-29
107,3707,Harrier,4,5082,No Issue,2023-12-15
108,3072,Creta,4,4404,AC Problem,2024-05-31
109,2329,i20,2,12186,Late Delivery,2023-08-23
110,4655,Swift,3,4178,High Service Cost,2024-08-09
111,2457,Alto,5,8459,Scratches,2022-08-31
112,3020,i20,5,6699,Late Delivery,2023-10-22
113,2445,Alto,1,5385,AC Problem,2024-09-23
114,4905,Harrier,4,8629,Late Delivery,2024-08-28
